date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,a_dorobo.ios_320x50_footer_24236,46,1,19
2024/1/31,a_dorobo.ios_320x50_header_24236,44,1,15
2024/1/31,a_ennichi.ios_1024x768_Interstitial_19496,1,0,269
2024/1/31,a_ennichi.ios_320x50_footer_19496,28,1,32
2024/1/31,a_ennichi.ios_336x280_middle1st_19496,5,1,121
2024/1/31,a_entrance.ios_1024x768_Interstitial_17077,3,2,622
2024/1/31,a_entrance.ios_320x50_footer_17077,56,3,47
2024/1/31,a_entrance.ios_320x50_header_17077,56,1,23
2024/1/31,a_escapexmas.ios_728x90_footer_15923_ipad,24,6,247
2024/1/31,a_escapexmas.ios_728x90_header_15923_ipad,1,0,35
2024/1/31,a_escapexmas.ios_1024x768_Interstitial_15923,14,8,580
2024/1/31,a_escapexmas.ios_320x50_footer_15923,136,5,39
2024/1/31,a_escapexmas.ios_320x50_header_15923,136,3,20
2024/1/31,a_furarekaihi.kr.and_300x250_middle_18670,60,3,44
2024/1/31,a_furarekaihi.kr.and_320x50_footer_18670,69,2,30
2024/1/31,a_graduation.ios_1024x768_Interstitial_16845,12,9,775
2024/1/31,a_graduation.ios_320x50_footer_16845,233,11,49
2024/1/31,a_graduation.ios_320x50_header_16845,232,5,20
2024/1/31,a_halloweenhotel.ios_320x50_footer_20255,1,0,8
2024/1/31,a_halloweenhotel.ios_320x50_header_20255,1,0,8
2024/1/31,a_herotower.and_1024x768_rewarded-video_24650,1,1,645
2024/1/31,a_hinative.and_336x280_QuestionDetail_24049,3,0,64
2024/1/31,a_hinative.ios_336x280_Feed_24050,1,0,270
2024/1/31,a_houchicity.and_300x250_middle_23578,69,13,182
2024/1/31,a_houchicity.and_320x50_footer_23578,157,7,47
2024/1/31,a_houchifarm.kr.and_300x250_middle_18673,11,4,369
2024/1/31,a_houchifarm.kr.and_320x50_footer_18673,16,2,97
2024/1/31,a_ibispaintx.ios_320x50_footer_16156_ipad,1,0,1
2024/1/31,a_izakaya.ios_320x50_header_18658,381,10,26
2024/1/31,a_janestyle.and_320x50_threadlist_16820_A,6,0,7
2024/1/31,a_janestyle.and_320x50_threadlist_16820_F,2,0,23
