date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,**********************************,532,6,12
2024/1/31,**************************************,2627,38,14
2024/1/31,************************************,3614,45,12
2024/1/31,**********************************,70,3,37
2024/1/31,*********************************,15,0,26
2024/1/31,************************************,89,3,30
2024/1/31,********************************,4,0,16
2024/1/31,********************************,2,0,15
2024/1/31,*****************************************,9,0,55
2024/1/31,*************************************,11,1,81
2024/1/31,******************************************,2,0,61
2024/1/31,**********************************,2,0,11
2024/1/31,**************************************,1,0,20
2024/1/31,***********************************,126,2,19
2024/1/31,**********************************************************,1,0,22
2024/1/31,***********************************,16,1,44
2024/1/31,***********************************,17,0,18
2024/1/31,***************************************,2,0,47
2024/1/31,***********************************,108,6,57
2024/1/31,**********************************,131,4,32
2024/1/31,************************************,41,1,23
2024/1/31,************************************,50,0,8
2024/1/31,**************overlay*******,11516,840,73
2024/1/31,*************overlay*******,2035,137,67
2024/1/31,*****************************************************,882,101,114
2024/1/31,*****************************************************,346,19,56
2024/1/31,*********************************************,817,19,23
2024/1/31,*************************************************,121,11,95
2024/1/31,******************************,2202,59,27
2024/1/31,******************************,2006,48,24
2024/1/31,*****************************,2209,62,28
2024/1/31,**************************,6547,162,25
2024/1/31,*****************************,2817,819,291
2024/1/31,**********************************,7588,113,15
2024/1/31,**********************************,15170,737,49
2024/1/31,**********************************,8159,179,22
2024/1/31,**********************************,16333,602,37
2024/1/31,**********************************,8012,122,15
2024/1/31,**********************************,10683,396,37
2024/1/31,**********************************,6752,108,16
2024/1/31,**********************************,9195,315,34
2024/1/31,**********************************,8521,167,20
2024/1/31,*******************************,43867,482,11
2024/1/31,****************************,6879,130,19
2024/1/31,*************************overlay******************,16317,1394,85
2024/1/31,****************************************************,4230,62,15
2024/1/31,****************************************************,16953,551,33
2024/1/31,****************************************************,3674,54,15
2024/1/31,****************************************************,10004,371,37
2024/1/31,****************************************************,2261,34,15
2024/1/31,****************************************************,9727,421,43
2024/1/31,****************************************************,2340,40,17
2024/1/31,****************************************************,9738,322,33
2024/1/31,****************************************************,8548,120,14
2024/1/31,******************************************************,7630,134,18
2024/1/31,*******************************************************,7074,106,15
2024/1/31,**********************************************************,16773,345,21
2024/1/31,********************************************************,2206,32,14
2024/1/31,*********************************************,5,1,144
2024/1/31,**************************************,3288,8720,2652
2024/1/31,*****************************************************,26660,45129,1693
2024/1/31,******************************************************,1,0,3
2024/1/31,***********************************************,6518,787,121
2024/1/31,**************************************************,4672,223,48
2024/1/31,**********************************************,2482,70,28
2024/1/31,**************************************,18,0,17
2024/1/31,************************************,2,0,49
2024/1/31,********************************,2127,1441,678
2024/1/31,******************************************,9,0,26
2024/1/31,**************************************,11,0,17
2024/1/31,******************************************,6,0,9
2024/1/31,********************************************,29483,1045,35
2024/1/31,****************************************************,19118,439,23
2024/1/31,***************************************************,25232,917,36
2024/1/31,************************************************,3422,213,62
2024/1/31,***************************************************,3850,38,10
2024/1/31,***********************************************,3046,103,34
2024/1/31,***********************************************,7812,98,13
2024/1/31,*********************************************,6254,68,11
2024/1/31,************************************,3819,428,112
2024/1/31,*************************************************,517,216,418
2024/1/31,*******************************************,2021,189,94
2024/1/31,******************************************************,41683,481,12
2024/1/31,********************************************,7103,2586,364
2024/1/31,*********************************************************,4,0,61
2024/1/31,******************************************************,4,0,75
2024/1/31,***********************************,44,1,14
2024/1/31,******************************************,15,2,158
2024/1/31,**********************************************,98,2,17
